rate,phase,timestamp,clocks_sm_mhz,temp_c,power_w
1,before,2026-08-08T20:48:34-05:00,180,33,7.86
1,after,2026-08-08T20:52:02-05:00,2760,74,415.20
2,before,2026-08-08T20:52:02-05:00,2760,74,415.20
2,after,2026-08-08T20:53:49-05:00,2760,73,408.26
4,before,2026-08-08T20:53:49-05:00,2760,73,408.26
4,after,2026-08-08T20:55:13-05:00,2760,80,418.33
8,before,2026-08-08T20:55:13-05:00,2760,80,418.33
8,after,2026-08-08T20:56:24-05:00,2752,82,392.97
16,before,2026-08-08T20:56:24-05:00,2752,82,392.97
16,after,2026-08-08T20:58:19-05:00,2752,79,433.42
32,before,2026-08-08T20:58:20-05:00,2752,79,433.42
32,after,2026-08-08T21:01:10-05:00,2745,79,389.15
inf,before,2026-08-08T21:01:10-05:00,2745,79,389.15
inf,after,2026-08-08T21:03:05-05:00,2752,78,430.67
9,before,2026-08-08T21:58:48-05:00,262,33,15.10
9,after,2026-08-08T22:00:51-05:00,2767,72,400.42
10,before,2026-08-08T22:00:51-05:00,2767,72,354.48
10,after,2026-08-08T22:01:55-05:00,2760,81,446.39
12,before,2026-08-08T22:01:55-05:00,2760,81,446.39
12,after,2026-08-08T22:02:57-05:00,2745,83,463.49
14,before,2026-08-08T22:02:57-05:00,2760,77,463.49
14,after,2026-08-08T22:03:58-05:00,2752,83,445.71
